"","newc","id","Site","Jan.01","Feb.01","Mar.01","Apr.01","May.01","Jun.01","Jul.01","Aug.01","Sep.01","Oct.01","Nov.01","Dec.01","Jan.02","Feb.02","Mar.02","Apr.02","May.02","Jun.02","Jul.02","Aug.02","Sep.02","Oct.02","Nov.02","Dec.02"
"311","C5","A2","MD-61642420 ",1.94,1.592,0.5516,0.4712,1.477,2.959,3.338,2.777,2.638,3.069,3.005,2.939,1.047,1.837,2.075,2.734,3.428,3.455,1.775,3.768,2.243,2.578,1.057,0.7587
"312","C5","A2","MD-61643350 ",1.821,1.241,0.5886,0.7134,1.807,3.105,2.884,2.659,3.679,3.26,2.529,2.469,0.8733,0.832,1.684,2.621,2.971,3.031,2.961,3.965,0.9928,2.81,2.171,1.846
"313","C5","A2","MD-61644950 ",1.809,1.119,0.4053,0.7984,1.878,3.192,3.143,3.12,3.104,2.842,2.643,2.704,0.7238,0.7817,1.483,2.639,3.082,2.934,2.693,3.62,2.357,3.165,2.327,0.9496
"314","C5","A2","MD-61646060 ",1.913,1.508,0.8044,0.8574,2.092,3.675,3.951,3.357,2.406,2.023,2.036,2.134,1.456,1.432,1.438,2.294,3.499,3.552,3.462,2.959,0.4929,1.416,2.36,2.396
"315","C3","A 3","MD-61648150 ",2.174,1.54,0.5912,0.4955,1.496,3.429,3.297,2.827,3.226,2.713,2.509,2.46,2.44,4.364,3.462,2.744,2.732,2.365,1.61,1.888,1.696,1.059,1.018,1.38
"316","C3","A 3","MD-61649620 ",2.539,1.914,0.392,0.4673,1.488,2.693,3.012,2.888,3.682,2.625,2.341,2.716,2.065,2.567,3.86,2.782,2.143,2.346,0,2.575,1.586,3.223,2.519,1.09
"317","C3","A 3","MD-61671530 ",2.526,2.649,0.8368,1.294,2.019,1.035,2.4,1.752,1.781,4.397,3.061,3.005,3.057,2.862,4.115,3.506,2.482,2.058,1.248,0.8983,1.109,1.539,1.97,1.912
"318","C3","A 1","MD-61676550 ",2.094,3.182,1.093,0.1303,2.38,2.879,3.092,3.366,3.19,2.282,1.58,1.487,2.386,1.919,2.844,1.71,1.085,0.3948,1.303,2.076,2.734,3.631,3.378,3.295
"319","C3","A 3","MD-63377050 ",3.742,1.235,0.7228,1.351,2.121,3.072,3.758,3.123,2.267,1.834,1.421,2.109,4.482,2.588,2.804,2.652,2.163,1.716,0.8651,1.028,1.245,1.83,2.411,2.973
"320","C5","A2","MD-63987300 ",2.483,1.138,1.896,1.588,1.791,3.864,4.04,3.429,2.031,1.55,1.469,1.479,0.5577,1.233,1.822,1.586,1.773,2.813,1.989,2.245,3.709,3.893,3.215,1.92
"321","C3","A 3","MD-64177850 ",2.415,1.656,0.383,0.5353,3.029,1.686,3.644,3.163,2.276,2.687,2.611,2.672,3.394,3.528,3.212,1.681,3.227,1.409,1.082,0.6867,1.378,1.956,2.246,2.957
"322","C3","A 3","MD-64780550 ",1.699,1.362,0.7285,0.7198,1.681,2.178,3.446,3.56,3.051,2.942,3.058,2.33,4.21,3.672,3.03,2.508,2.343,2.233,1.583,1.256,1.252,1.226,1.262,2.18
"323","C2","A 1","MD-65795580 ",4.59,2.869,1.481,1.932,3.117,3.322,2.722,2.441,1.74,3.559,3.743,4.431,2.419,2.105,1.703,3.193,5.127,4.229,3.625,3.181,1.75,2.65,2.999,2.966
"324","C3","A 4","MD-66332150 ",1.519,1.43,2.403,3.408,4.069,3.794,3.988,4.125,3.885,2.679,2.277,2.371,4.669,3.247,3.897,3.035,3.057,2.161,3.995,2.969,2.328,1.279,1.656,3.655
"325","C3","A 4","MD-70256300 ",1.25,1.828,2.194,2.309,3.191,2.809,4.393,4.4,4.159,3.34,3.001,3.075,5.227,3.634,3.719,3.437,3.485,1.332,2.126,2.368,2.387,2.429,2.784,3.02
"326","C2","A 1","MD-70257450 ",3.325,2.159,1.695,1.755,2.508,2.572,4.228,5.007,3.475,3.625,3.173,2.427,0.1231,2.995,4.214,3.843,3.568,3.124,3.194,3.201,2.67,2.904,3.043,3.068
"327","C3","A 4","MD-70257580 ",0,2.956,2.925,2.586,2.967,3.431,3.581,3.476,3.513,3.617,3.563,3.333,5.698,3.403,3.51,3.596,3.038,2.444,2.073,2.36,2.347,2.223,2.46,2.794
"328","C3","A 4","MD-70260380 ",0.01797,3.088,3.121,2.596,2.772,3.394,3.835,3.591,3.406,3.603,3.3,3.225,5.571,3.58,3.683,3.478,2.856,2.175,1.886,2.269,2.329,2.382,2.776,2.962
"329","C3","A 4","MD-70261360 ",1.34,2.524,1.885,1.865,2.31,3.132,4.018,3.813,4.086,4.395,3.308,3.271,4.971,4.434,3.922,3.172,2.574,2.129,1.871,2.185,2.175,2.289,2.901,3.323
"330","C3","A 4","MD-70476840 ",1.832,1.801,2.444,2.725,3.616,3.091,3.041,4.73,4.377,3.929,2.587,1.775,3.416,4.495,4.062,3.093,3.597,1.895,0.8334,2.847,2.547,2.262,3.512,3.388
"331","C6","A 3","MD-70483505 ",2.221,1.911,1.53,2.607,4.155,3.672,2.404,2.726,5.025,2.841,3.126,3.731,2.962,3.89,2.565,3.065,4.278,2.448,0.6785,2.316,4.065,2.516,3.288,3.875
"332","C6","A 3","MD-71363300 ",3.656,1.479,1.46,2.989,2.542,2.236,2.882,3.939,3.569,3.185,3.055,4.958,3.075,2.639,2.431,2.314,3.161,2.709,1.631,1.944,3.986,2.645,4.859,4.554
"333","C4","A 2","MD-72771630 ",4.282,3.078,2.151,3.062,2.464,1.159,2.827,2.735,4.23,2.316,2.95,4.693,4.175,3.43,2.764,3.793,2.799,0.5438,2.267,2.747,3.989,2.428,3.146,3.865
"334","C4","A 2","MD-72772480 ",3.743,2.168,1.519,0.8451,2.882,3.763,3.92,3.409,3.949,3.628,3.116,3.006,3.812,4.487,4.488,3.862,3.342,2.854,2.147,1.666,1.733,2.167,2.546,2.845
"335","C3","A 4","MD-75129380 ",0.08186,3.583,3.792,2.967,3.479,3.891,2.93,2.781,2.767,2.87,3.254,3.552,5.565,2.906,3.219,3.5,3.804,3.255,1.836,2.337,2.271,2.245,2.402,2.61
"336","C4","A 2","MD-77243020 ",3.005,2.761,3.214,4.976,3.269,3.036,2.273,1.881,2.185,2.348,2.167,4.831,4.018,2.943,3.509,4.979,3.368,1.584,1.56,2.796,2.985,2.011,2.58,3.614
"337","C4","A 2","MD-77589220 ",1.664,2.684,2.299,5.358,2.441,3.061,3.612,3.199,2.665,2.372,4.205,2.387,2.681,4.158,4.087,3.713,4.207,3.511,2.729,2.215,2.5,1.91,3.23,1.008
"338","C3","A 4","MD-77758020 ",2.079,2.236,1.15,4.164,2.249,3.129,4.277,4.041,3.945,3.367,2.997,2.314,4.113,4.611,4.085,3.49,2.928,2.326,1.603,1.57,2.072,2.528,3.401,3.219
"339","C4","A 2","MD-80557270 ",3.654,4.844,1.664,1.705,2.313,2.173,2.79,4.494,2.988,2.751,3.12,3.452,4.577,4.444,4.164,3.262,2.786,2.427,2.192,1.982,1.89,1.881,2.727,3.618
"340","C2","A 1","MD-81910980 ",3.278,3.094,3.587,2.55,1.959,2.967,1.771,3.632,4.983,4.127,2.291,1.709,2.875,3.092,4.661,3.855,2.533,2.44,1.385,3.404,4.567,2.988,1.996,2.151
"341","C4","A 2","MD-81912810 ",2.886,1.654,1.632,2.244,2.722,3.116,2.459,2.657,3.876,5.004,3.904,3.794,3.545,3.282,4.451,3.836,1.154,1.85,1.954,2.457,3.334,4.014,2.507,3.564
"342","C3","A 4","MD-81913740 ",0.5452,2.613,2.562,2.524,3.08,3.583,3.519,3.626,4.084,4.248,3.316,2.248,2.057,4.818,4.484,3.666,3.018,2.376,1.659,1.789,2.712,3.482,3.247,2.64
"343","C4","A 2","MD-81915180 ",2.616,3.09,2.372,2.058,1.512,2.227,2.864,2.682,3.12,4.204,4.749,4.452,4.261,4.503,4.195,3.086,2.364,1.719,1.736,1.981,2.371,2.792,3.19,3.75
"344","C4","A 1","NE-44100016 ",2.704,2.876,2.537,1.722,1.415,2.409,4.252,3.64,3.908,2.942,4.08,4.517,5.01,2.905,1.338,2.829,3.199,2.692,3.024,3.3,3.187,2.293,2.444,4.781
"345","C3","A 2","NE-44100018 ",2.486,2.562,2.588,2.637,2.881,2.691,2.695,5.559,4.816,2.679,2.68,2.728,4.335,4.729,3.681,2.863,3.912,2.489,2.156,1.86,1.815,2.25,3.043,3.87
"346","C3","A 3","NE-44100119 ",3.098,3.097,3.097,3.165,3.232,3.327,3.421,3.504,3.587,3.687,3.787,0,3.601,4.18,4.718,4.407,3.579,3.189,2.698,1.843,2.19,2.177,2.3,2.12
"347","C3","A 3","NE-44100221 ",2.775,2.977,3.025,3.438,3.771,3.999,4.091,3.944,3.567,2.891,1.89,0.6334,4.233,4.91,3.514,2.765,2.288,2.184,2.39,2.506,2.377,2.277,2.861,4.696
"348","C3","A 3","NE-44100242 ",3.007,3.189,3.223,3.566,3.822,3.97,3.982,3.786,3.369,2.719,1.763,0.6055,4.207,4.435,3.496,2.662,1.941,1.966,2.8,2.767,1.91,2.307,4.486,4.024
"349","C2","A 4","NE-44100243 ",1.765,1.751,2.405,3.03,3.791,4.794,3.997,3.354,3.923,3.732,2.461,1.999,2.165,1.819,2.355,3.098,4.117,4.968,3.861,2.995,3.834,3.595,2.207,1.987
"350","C3","A 2","NE-44100245 ",2.348,1.868,2.029,2.28,2.526,4.554,5.027,3.6,3.735,3.274,3.167,2.595,4.866,4.251,3.168,2.676,2.699,2.233,2.139,2.256,2.182,2.3,3.742,4.49
"351","C2","A 4","NE-44200015 ",1.68,1.656,2.148,2.657,3.568,4.163,3.949,3.776,4.254,4.062,2.988,2.099,2.69,2.321,2.065,2.101,3.395,5.169,4.525,2.34,2.764,3.994,2.582,3.055
"352","C2","A 4","NE-44200088 ",2.183,1.985,2.401,2.727,2.639,3.476,3.818,3.124,4.344,5.344,2.672,2.291,3.129,3.244,2.964,2.501,2.021,2.138,2.46,2.216,3.744,5.597,3.922,3.064
"353","C2","A 4","NE-44300004 ",1.481,2.517,3.868,3.009,2.665,3.683,3.384,3.789,4.073,4.708,1.869,1.956,2.135,2.828,4.235,3.195,3.948,4.478,2.663,3.558,3.975,2.834,1.263,1.888
"354","C2","A 4","NE-44300030 ",1.961,2.034,2.812,2.947,3.86,3.859,3.052,4.211,3.799,4.682,2.179,1.605,1.685,1.483,4.393,4.584,3.226,3.002,3.379,3.755,2.089,3.93,2.806,2.672
"355","C4","A 1","NE-44300075 ",3.075,4.093,3.648,2.131,1.482,1.982,3.788,2.48,2.197,4.639,3.891,3.595,4.185,4.332,3.848,2.752,2.176,2.019,2.428,2.176,2.049,2.513,3.984,4.539
"356","C2","A 4","NE-44300116 ",0.3635,3.917,3.493,2.716,2.194,3.19,3.374,3.334,4.205,3.585,3.453,3.178,1.087,2.045,2.829,4.011,4.526,3.572,1.802,3.392,3.513,3.767,3.59,2.868
"357","C2","A 4","NE-44400007 ",1.699,2.197,2.788,2.274,3.417,4.304,3.021,4.108,4.199,4.511,2.562,1.923,2.432,2.699,3.463,1.727,2.634,3.568,2.789,3.138,4.569,5.238,2.536,2.209
"358","C3","A 3","NE-44400011 ",0.5699,3.214,3.963,4.135,3.739,4.06,3.303,3.32,3.227,2.85,2.426,2.194,3.585,3.592,4.552,4.818,3.387,3.487,2.889,2.218,1.717,1.901,2.71,2.146
"359","C2","A 4","NE-44500064 ",2.068,2.291,2.943,2.425,3.86,4.545,2.642,3.577,4.635,4.037,2.034,1.947,2.954,2.703,3.529,2.484,4.181,4.113,2.31,3.658,4.823,2.893,1.5,1.852
"360","C2","A 4","NE-44500133 ",2.113,2.19,2.508,2.53,3.507,3.809,3.047,5.298,3.939,3.763,2.334,1.964,2.367,2.336,4.442,4.973,4.532,2.176,2.309,3.366,2.474,2.666,2.54,2.82
"361","C2","A 4","NE-44500231 ",2.285,2.251,2.78,2.552,4,5.058,2.908,3.514,4.117,3.739,1.766,2.031,3.715,2.212,3.648,3.367,4.563,4.263,2.039,3.273,3.95,2.022,1.529,2.419
"362","C3","A 3","NE-45100005 ",2.926,2.856,2.665,2.602,2.822,3.46,4.207,4.627,4.321,2.864,0.8467,2.805,2.105,4.625,4.848,2.469,4.248,3.293,3.444,2.268,2.271,2.297,2.857,2.276
"363","C3","A 3","NE-45100036 ",1.792,2.006,2.101,2.682,3.24,3.756,4.194,4.347,4.319,3.795,2.989,1.781,3.016,3.683,5.174,4.514,3.619,3.029,2.588,2.271,2.121,2.045,2.103,2.838
"364","C2","A 4","NE-45100074 ",3.048,3.031,3.013,2.937,2.86,2.795,2.731,2.913,2.614,2.531,6.184,2.345,0.5286,3.365,4.439,4.104,3.29,3.279,3.391,3.131,2.251,2.51,3.069,3.644
"365","C4","A 1","NE-45100080 ",3.16,2.978,2.944,2.601,2.344,2.197,2.185,2.381,2.798,3.448,4.404,5.561,5.877,3.245,2.02,2.37,2.222,2.245,3.086,3.062,3.186,3.159,3.235,3.295
"366","C3","A 3","NE-45100087 ",2.775,2.977,3.025,3.438,3.771,3.999,4.091,3.944,3.567,2.891,1.89,0.6334,5.271,4.646,3.566,2.8,2.411,2.657,3.299,2.912,2.549,1.703,2.394,2.794
"367","C4","A 1","NE-45100151 ",3.662,3.443,3.38,2.895,2.482,2.165,1.979,2.06,2.375,3.061,4.083,5.416,5.692,3.852,3.214,3.064,2.795,2.562,2.454,2.087,2.183,2.328,3.013,3.758
"368","C2","A 4","NE-45200010 ",0.152,2.553,3.503,3.767,3.681,3.684,3.504,3.257,2.887,2.879,3.501,3.633,0.4426,3.089,4.15,3.822,3.396,3.249,3.071,2.845,2.509,2.615,4.265,3.55
"369","C2","A 4","NE-45200031 ",3.024,2.985,2.946,2.838,2.745,2.656,2.582,2.507,2.431,5.569,4.639,2.081,2.952,2.738,1.946,2.659,5.419,4.607,2.543,2.521,2.498,3.499,3.223,2.397
"370","C3","A 2","NE-45200038 ",4.139,2.074,1.75,2.066,2.029,2.928,3.239,2.96,4.959,4.06,3.725,3.074,4.294,4.007,4.315,3.99,3.174,2.239,1.775,2.017,2.135,2.202,2.773,4.082
"371","C3","A 3","NE-45200186 ",1.045,2.113,2.572,2.567,3.233,4.372,4.161,3.853,4.039,3.803,2.82,2.423,0.9528,3.751,4.542,4.239,3.523,3.318,2.588,2.612,2.355,2.194,3.13,3.798
"372","C2","A 4","NE-45300029 ",2.38,1.547,2.448,2.126,2.501,3.625,4.348,3.212,4.049,4.866,3.416,2.484,2.758,2.107,3.711,4.228,3.732,2.713,2.2,3.285,2.144,2.479,5.326,2.319
"373","C4","A 1","NE-45300032 ",4.371,4.181,4.379,4.109,3.7,3.124,2.439,2.029,1.889,2.222,2.152,2.406,1.688,1.513,3.255,4.191,4.139,3.239,2.458,3.559,2.722,3.143,4.775,2.321
"374","C2","A 4","NE-45300033 ",1.844,1.449,2.298,2.681,2.885,3.487,3.972,3.66,4.2,4.678,3.577,2.272,2.151,1.325,4.509,4.131,2.538,2.614,2.653,3.773,2.803,4.258,3.92,2.327
"375","C3","A 3","NE-45300058 ",2.137,4.46,4.524,2.974,2.738,3.253,3.75,3.683,3.148,3.297,1.853,1.185,2.515,5.136,4.979,2.702,2.021,2.419,2.891,2.846,2.924,3.363,3.104,2.103
"376","C4","A 1","NE-45300061 ",1.912,5.086,4.811,3.059,2.671,2.617,2.838,3.467,2.545,3.061,3.169,1.766,2.809,3.047,3.696,3.463,2.262,1.641,1.927,2.695,2.434,3.539,4.822,4.667
"377","C2","A 4","NE-45300118 ",1.375,1.754,2.653,2.402,2.458,3.744,3.694,4.014,4.219,4.399,3.679,2.611,0.969,2.085,4.414,3.234,2.234,3.98,3.326,3.645,3.817,3.819,3.25,2.228
"378","C3","A 2","NE-45300173 ",2.228,2.505,2.351,2.001,2.143,2.856,3.464,4.111,5.036,4.429,3.4,2.477,4.154,4.444,3.997,3.541,3.181,2.512,2.026,1.83,1.987,1.763,3.712,3.854
"379","C2","A 4","NE-45300174 ",1.208,1.914,3.493,3.597,3.817,3.628,3.025,3.921,4.092,4.103,2.383,1.821,1.296,1.946,3.855,3.948,3.716,3.243,2.133,3.823,4.042,4.193,2.735,2.073
"380","C3","A 2","NE-45300187 ",2.314,2.204,3.014,2.699,2.15,3.102,5.746,4.198,2.871,3.141,2.942,2.622,3.254,3.323,4.036,3.49,2.588,2.289,2.148,2.151,2.095,2.181,4.884,4.562
"381","C4","A 1","NE-45300265 ",5.747,3.265,2.516,2.792,3.032,2.956,2.793,2.178,2.124,2.407,3.031,4.162,2.852,2.863,2.91,2.799,2.479,2.192,2.373,2.384,2.622,4.632,5.52,3.377
"382","C3","A 3","NE-45400013 ",2.819,1.6,2.939,4.097,4.407,4.835,3.219,3.419,2.116,3.186,2.463,1.901,4.956,3.283,3.441,4.285,3.413,2.912,2.079,2.446,1.349,2.246,2.782,3.811
"383","C3","A 3","NE-45400018 ",4.185,2.621,3.037,4.247,4.299,4.299,2.882,3.268,1.71,2.791,2.031,1.632,5.531,3.658,3.703,3.695,2.947,2.964,2.091,2.5,1.707,2.408,2.63,3.166
"384","C4","A 1","NE-45400070 ",2.792,2.817,5.108,2.768,3.134,3.22,4.37,1.674,1.441,2.859,3.309,3.51,4.489,3.171,2.774,2.776,2.713,2.482,2.298,2.184,1.934,2.758,5.006,4.417
"385","C2","A 4","NE-45400076 ",2.29,1.601,2.508,3.356,3.665,2.808,3.567,4.074,3.319,5.227,2.638,1.948,2.228,1.494,2.177,2.811,2.921,2.578,2.976,3.442,3.107,3.649,5.073,4.547
"386","C3","A 2","NE-45400081 ",1.714,2.031,2.651,3.188,3.637,4.338,4.123,3.852,4.134,3.525,2.21,1.599,4.455,3.555,3.584,2.801,2.285,1.944,1.975,1.998,2.29,3.363,4.086,4.667
"387","C2","A 4","NE-45400091 ",1.508,1.903,2.659,3.524,3.824,3.406,3.644,4.623,4.041,3.669,2.434,1.768,1.78,1.901,2.996,4.014,3.915,2.081,2.916,4.689,4.219,3.736,2.468,2.286
"388","C2","A 4","NE-45400396 ",1.899,1.862,2.942,2.673,2.899,4.216,4.754,4.569,3.728,2.655,2.212,2.591,2.013,1.984,2.214,2.062,2.928,4.748,4.501,3.865,3.695,3.818,2.697,2.476
"389","C3","A 2","NE-45400474 ",1.624,1.635,2.008,3.338,4.124,3.483,3.859,3.866,3.818,4.322,2.815,2.109,4.297,3.184,3.004,3.497,2.559,1.987,2.235,1.951,2.494,2.443,4.548,4.803
"390","C3","A 2","NE-45400502 ",1.576,1.893,2.562,3.174,3.847,3.946,3.83,4.23,4.391,3.347,2.362,1.845,4.573,3.623,3.919,2.76,2.27,1.49,1.846,2.348,2.781,3.348,3.526,4.517
"391","C3","A 2","NE-45400517 ",2.155,1.915,2.113,2.66,3.283,3.262,4.197,4.522,4.746,3.567,2.385,2.197,3.465,3.119,3.108,2.402,2.223,2.13,2.423,2.585,2.404,3.089,5.166,4.888
"392","C3","A 3","NE-45400523 ",3.092,2.603,3.053,3.547,4.1,5.168,3.794,2.471,2.189,3.388,2.016,1.579,5.878,3.502,3.257,3.138,3.064,3.193,2.428,2.105,2.005,2.555,2.716,3.161
"393","C3","A 2","NE-45400549 ",1.683,2.091,2.225,2.926,4.177,4.173,3.889,3.894,4.339,3.364,2.335,1.906,4.089,3.395,3.582,3.374,2.641,1.997,0.9607,2.151,4.096,2.909,3.454,4.353
"394","C3","A 2","NE-45400552 ",2.16,1.947,1.977,2.35,2.791,4.274,4.508,4.4,4.124,3.359,2.793,2.319,4.591,4.154,3.594,2.978,2.256,2.597,2.048,2.13,2.368,1.965,3.757,4.564
"395","C2","A 4","NE-45400566 ",1.618,1.243,2.691,3.576,3.717,3.732,4.04,4.05,3.835,3.847,2.554,2.099,1.734,1.37,3.116,3.889,3.843,3.742,3.505,3.765,1.381,3.808,3.801,3.05
"396","C2","A 4","NE-45401341 ",1.726,2.037,3.035,3.498,3.661,3.983,4.277,3.937,3.2,4.068,2.155,1.425,1.748,2.475,3.973,3.814,3.483,4.035,3.374,3.179,0.8241,3.508,3.998,2.592
"397","C4","A 1","NE-45401418 ",4.679,5.46,3.399,2.78,2.959,2.475,2.324,2.42,2.496,2.311,2.567,3.133,1.525,2.11,2.796,3.46,3.089,3.234,3.411,3.327,2.652,2.597,3.112,5.688
"398","C3","A 2","NE-45401419 ",2.798,3.78,1.771,1.36,1.842,3.261,3.996,3.61,4.8,3.231,3.182,3.369,4.846,4.376,3.774,3.015,2.605,2.226,2.157,1.989,2.288,2.293,3.141,4.292
"399","C3","A 2","NE-45500124 ",0.8062,2.369,2.891,2.971,3.91,3.648,3.273,4.678,4.143,3.092,2.841,2.38,4.703,3.383,2.988,2.841,1.941,1.665,3.441,2.136,2.364,2.891,4.672,3.978
"400","C4","A 1","NE-45600010 ",4.511,5.215,3.672,3.17,2.691,2.316,1.824,2.272,3.484,2.275,2.582,2.99,3.625,3.548,4.026,3.014,2.709,2.27,2.234,2.678,2.712,1.831,2.798,5.558
"401","C4","A 1","NE-45600011 ",3.097,6.138,3.373,3.128,2.915,2.766,2.691,2.619,2.597,2.526,2.467,2.685,3.503,4.741,4.513,3.803,2.923,2.54,2.38,2.194,1.984,1.935,2.427,4.058
"402","C2","A 4","NE-45600023 ",3.029,3.119,3.085,2.985,2.834,2.629,2.296,1.923,1.985,3.116,4.684,5.315,3.303,3.697,3.495,3.521,3.713,3.812,3.855,3.697,3.235,2.379,1.531,0.7632
"403","C4","A 1","NE-45600177 ",2.704,2.709,2.48,2.948,2.314,2.607,2.788,2.387,2.275,3.74,5.422,4.629,4.277,4.069,3.387,2.664,2.346,2.104,2.161,1.967,1.861,4.576,3.765,3.824
"404","C3","A 1","NE-49000063 ",2.428,1.976,1.416,1.41,1.44,1.459,2.026,3.738,4.105,3.656,3.15,2.767,3.044,3.294,3.386,3.346,3.495,3.31,2.633,1.466,0.9964,1.035,1.326,2.239
"405","C3","A 1","NE-49000082 ",2.013,1.881,1.763,1.748,2.033,2.244,2.574,3.677,4.841,4.002,2.971,2.382,2.708,5.081,4.272,2.452,2.173,2.097,2.037,2.017,1.997,2.084,2.179,3.031
"406","C3","A 1","NE-49000137 ",2.769,2.847,1.813,2.101,1.786,1.586,4.38,4.485,2.073,2.142,1.981,1.608,4.496,3.691,2.695,2.284,2.146,1.576,1.442,2.124,1.344,1.761,2.338,3.675
"407","C3","A 2","NE-49000383 ",2.143,2.126,2.109,5.61,2.14,2.144,2.441,2.134,2.118,2.081,2.044,2.481,3.862,3.8,2.97,2.715,1.345,1.46,1.685,1.62,1.721,1.822,2.564,4.008
"408","C2","A 1","NE-49100005 ",2.538,1.226,3.138,3.449,3.085,4.084,4.935,2.944,1.911,3.146,2.711,1.869,2.647,3.027,4.708,4.61,3.48,3.021,2.918,1.634,1.644,2.268,2.019,3.059
"409","C3","A 1","NE-49100007 ",1.753,1.234,1.699,2.457,1.955,3.475,4.441,3.651,3.733,2.34,3.247,2.142,3.644,3.123,3.884,4.04,2.663,1.978,1.522,1.377,2.261,1.191,3.397,3.048
"410","C6","A 3","NE-49100024 ",2.458,4.369,2.394,2.337,2.281,2.431,2.221,1.484,2.192,4.376,2.131,0.8969,4.04,3.733,3.261,2.167,1.658,1.314,1.782,1.81,1.541,1.747,2.673,3.845
"411","C4","A 2","NE-49100285 ",3.897,3.636,2.695,1.686,1.624,1.898,2.296,1.478,1.933,4.411,3.35,3.223,2.911,3.061,3.694,4.118,3.832,3.158,2.63,2.14,1.513,0.8969,1.534,2.64
"412","C3","A 1","NE-49100298 ",1.371,1.1,1.629,1.669,1.958,3.168,3.017,3.796,4.282,2.667,2.923,1.99,3.052,2.959,3.719,3.928,3.329,1.933,1.705,0.813,1.392,2.205,1.538,2.999
"413","C4","A 2","NE-49100346 ",2.45,2.451,2.451,2.383,2.315,2.221,2.127,2.044,1.96,1.861,1.761,5.548,2.922,4.718,3.084,2.583,2.556,2.436,2.175,1.557,1.178,1.29,1.713,3.358
"414","C3","A 1","NE-49100349 ",2.268,2.212,2.155,2.445,2.158,2.153,5.605,2.132,2.117,2.396,2.044,1.887,3.814,3.865,2.946,2.699,2.767,2.572,2.023,1.941,1.309,0.6427,1.574,3.42
"415","C3","A 1","NE-49100351 ",1.977,1.996,2.015,1.968,1.982,2,2.019,4.19,4.951,2.122,2.158,2.192,4.277,3.537,3.17,3,3.035,2.054,1.167,1.646,1.33,1.324,2.105,2.926
"416","C3","A 1","NE-49100398 ",1.848,1.494,1.511,2.208,1.873,2.381,3.008,3.879,3.982,4.006,1.977,1.402,3.016,2.802,2.84,2.302,1.963,1.686,1.459,1.608,1.667,1.689,4.097,4.442
"417","C3","A 1","NE-49100399 ",1.709,1.512,1.252,1.795,1.336,1.942,3.348,3.767,3.571,3.903,2.997,2.438,2.996,2.888,3.105,2.733,2.146,1.618,1.389,1.207,1.582,2.013,3.198,4.695
"418","C2","A 3","NE-49100400 ",2.097,1.226,0.9111,1.246,2.261,2.254,2.863,3.205,3.392,4.278,3.118,2.72,1.446,1.274,1.713,2.624,2.533,2.09,4.592,3.226,2.49,1.207,2.997,3.379
"419","C3","A 1","NE-49100401 ",1.498,1.619,1.855,1.885,2.733,2.823,3.559,3.628,3.591,3.769,1.651,0.9611,3.181,2.882,2.798,2.054,2.024,1.776,1.531,1.569,1.664,1.612,4.149,4.331
"420","C3","A 1","NE-49100409 ",3.161,1.438,1.979,2.301,1.172,2.403,4.512,3.608,4.035,2.54,2.27,2.709,3.807,3.483,3.671,3.115,2.459,1.846,1.336,1.324,1.685,2.189,3.073,4.141
"421","C2","A 3","NE-49100426 ",1.414,2.516,3.091,2.594,3.463,3.879,3.146,3.342,3.771,2.781,1.258,0.8732,2.604,3.95,4.098,3.104,4.236,3.079,1.654,1.747,2.115,2.068,1.408,2.066
"422","C3","A 1","NE-49100431 ",1.3,1.309,1.827,2.403,2.501,3.16,3.53,3.06,3.094,4.365,1.73,1.291,4.176,4.031,3.511,3.03,2.544,1.739,1.318,1.487,1.627,1.839,1.923,2.347
"423","C1","A 4","NE-49100522 ",4.315,4.167,3.014,1.542,1.066,2.519,2.769,2.552,2.182,1.54,1.877,2.029,1.694,3.981,3.667,3.747,3.3,2.884,1.376,1.8,2.457,1.513,1.454,1.696
"424","C1","A 4","NE-49100544 ",4.1,1.522,1.493,1.613,0.8362,3.546,3.449,2.743,3.25,2.537,1.944,2.537,4.393,3.321,3.011,3.846,2.616,2.439,1.956,1.334,1.625,1.38,1.627,2.022
"425","C1","A 4","NE-49100546 ",5.418,2.517,1.844,1.887,1.917,1.962,2.739,2.651,2.009,1.972,2.779,1.876,4.458,4.044,1.881,3.57,1.432,2.518,1.814,1.806,2.219,1.855,1.709,2.265
"426","C1","A 4","NE-49100549 ",3.941,2.21,0.7912,1.358,1.765,4.275,3.395,2.548,2.376,2.378,2.299,2.236,4.19,4.356,2.204,3.43,1.535,2.674,1.632,1.727,2.281,1.688,1.719,2.136
"427","C3","A 3","NE-49100552 ",2.397,2.345,2.293,2.245,2.198,2.195,2.192,2.172,4.002,4.718,2.084,0.7292,4.065,3.633,3.411,3.017,3.063,2.003,1.191,1.567,1.326,1.35,2.061,2.884
"428","C3","A 1","NE-49100555 ",2.116,2.037,1.957,1.942,1.894,1.925,1.944,1.737,4.131,4.659,3.359,1.869,3.841,3.873,3.671,2.918,2.686,2.303,1.835,1.248,1.342,1.209,1.76,2.884
"429","C3","A 1","NE-49100644 ",2.296,2.282,2.493,2.289,1.743,1.695,2.438,4.058,5.141,3.188,2.359,2.147,4.069,3.953,3.737,2.702,1.905,1.659,1.674,1.601,1.46,2.742,2.984,3.643
"430","C4","A 2","NE-49200047 ",4.906,3.229,2.476,1.923,2.021,2.181,1.572,1.306,2.522,3.469,3.203,3.321,4.124,3.481,3.63,2.699,1.902,1.737,1.383,1.317,2.297,2.262,3.381,3.915
